#  Buffalo, New York Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195001,33.6
195002,28.9
195003,28.6
195004,31.3
195005,36.5
195006,41.2
195007,45.2
195008,48.1
195009,49.5
195010,50
195011,48.9
195012,47.1
195101,27.6
195102,27.2
195103,29.8
195104,33.5
195105,38.2
195106,42.9
195107,46.9
195108,49.5
195109,50.8
195110,51.2
195111,49.6
195112,47.9
195201,27.6
195202,28.1
195203,29.8
195204,34.3
195205,38.2
195206,43
195207,47.5
195208,50.3
195209,51.7
195210,51.2
195211,50.4
195212,48.9
195301,30.4
195302,30.2
195303,32.2
195304,35.1
195305,39.3
195306,44
195307,48
195308,50.8
195309,52.1
195310,52.3
195311,51.5
195312,50
195401,22.6
195402,27.5
195403,29.2
195404,33.6
195405,37.8
195406,42.8
195407,46.7
195408,49.2
195409,50.6
195410,50.9
195411,50
195412,48.2
195501,23.9
195502,25.6
195503,28.2
195504,33.8
195505,38.9
195506,43.6
195507,48.2
195508,51.4
195509,52.6
195510,52.7
195511,51.3
195512,49.1
195601,23.7
195602,25.7
195603,27.2
195604,31.1
195605,35.4
195606,40.6
195607,44.7
195608,47.7
195609,48.9
195610,49.5
195611,48.8
195612,47.5
195701,19.7
195702,24.9
195703,28.5
195704,33.4
195705,37.7
195706,42.9
195707,46.8
195708,49.3
195709,50.7
195710,50.6
195711,49.7
195712,48.4
195801,24.2
195802,22
195803,26.1
195804,31.5
195805,36
195806,40.3
195807,44.7
195808,47.7
195809,49.3
195810,49.6
195811,48.8
195812,46.5
195901,21.4
195902,22.5
195903,25.2
195904,30.3
195905,36.3
195906,41.4
195907,45.9
195908,49.5
195909,51.4
195910,51.5
195911,50.2
195912,48.7
196001,25.6
196002,26.1
196003,25.3
196004,31
196005,36.4
196006,41.3
196007,45.3
196008,48.2
196009,50
196010,50.1
196011,49.4
196012,47.1
196101,18.3
196102,22.5
196103,26.5
196104,29.9
196105,34.7
196106,39.6
196107,44
196108,47.3
196109,49.7
196110,50.2
196111,49.4
196112,47.8
196201,22.4
196202,21.9
196203,25.6
196204,30.5
196205,36.7
196206,41.5
196207,45.5
196208,48.4
196209,49.6
196210,49.8
196211,48.6
196212,46.7
196301,18.8
196302,18.9
196303,24.5
196304,29.5
196305,34.3
196306,39.8
196307,44.3
196308,46.9
196309,48.1
196310,48.9
196311,48.4
196312,46.3
196401,28.4
196402,25.7
196403,28.3
196404,32.9
196405,38.1
196406,42.8
196407,47.1
196408,49.3
196409,50.6
196410,50.3
196411,49.5
196412,47.8
196501,22.7
196502,24
196503,25.9
196504,29.6
196505,35.6
196506,40.4
196507,44.3
196508,47.2
196509,49
196510,48.9
196511,48
196512,46.8
196601,19.6
196602,22
196603,26.1
196604,30.3
196605,34.7
196606,40.2
196607,44.6
196608,47.6
196609,48.8
196610,48.8
196611,48.1
196612,46.4
196701,28.9
196702,24.5
196703,26.5
196704,31.3
196705,35.1
196706,41.3
196707,45.6
196708,48.4
196709,49.8
196710,49.9
196711,48.6
196712,47.3
196801,19
196802,19.5
196803,24.8
196804,30.8
196805,35.3
196806,40.3
196807,44.7
196808,47.8
196809,49.8
196810,50.1
196811,49.2
196812,47.3
196901,24.2
196902,24.1
196903,26.3
196904,31.3
196905,35.9
196906,40.7
196907,44.9
196908,48.2
196909,49.7
196910,49.8
196911,48.8
196912,46.8
197001,16.8
197002,20.5
197003,23.6
197004,29.3
197005,34.9
197006,40.1
197007,44.5
197008,47.7
197009,49.5
197010,50
197011,49.2
197012,47.3
197101,20
197102,23.2
197103,25.3
197104,29.3
197105,34.4
197106,39.9
197107,44.1
197108,47
197109,49
197110,50
197111,48.9
197112,47.6
197201,24.6
197202,23
197203,25.3
197204,29.2
197205,35.2
197206,39.8
197207,44.3
197208,47.2
197209,48.9
197210,48.6
197211,47.4
197212,46
197301,26.7
197302,24.5
197303,30.4
197304,34.4
197305,38.4
197306,43.4
197307,47.5
197308,50.5
197309,51.8
197310,52
197311,50.9
197312,49
197401,26.2
197402,24
197403,26.9
197404,31.6
197405,35.9
197406,40.9
197407,45.1
197408,48.2
197409,49.4
197410,49.3
197411,48.4
197412,47
197501,29.2
197502,28.9
197503,29.4
197504,31.8
197505,37.9
197506,42.9
197507,47.1
197508,49.9
197509,50.8
197510,51
197511,50.6
197512,48.7
197601,18.8
197602,25
197603,29
197604,33.3
197605,37.3
197606,42.5
197607,46.1
197608,48.8
197609,50
197610,49.6
197611,48.2
197612,45.9
197701,13
197702,18.5
197703,25.5
197704,30.8
197705,36.7
197706,41.3
197707,45.7
197708,48.5
197709,50.1
197710,50
197711,49.3
197712,47.5
197801,19.6
197802,17.2
197803,20.8
197804,26.1
197805,32.4
197806,37.9
197807,42.5
197808,46
197809,47.6
197810,47.8
197811,47
197812,45.6
197901,19.7
197902,17
197903,24.1
197904,29
197905,34.5
197906,39.8
197907,44.3
197908,47.2
197909,48.9
197910,49
197911,48.4
197912,47.1
198001,25.4
198002,23
198003,25.8
198004,30.7
198005,36.2
198006,40.5
198007,45
198008,48.4
198009,50
198010,49.8
198011,48.8
198012,46.7
198101,18.2
198102,25.2
198103,27.9
198104,32.6
198105,37.3
198106,42.1
198107,46.4
198108,49.3
198109,50.5
198110,50.2
198111,49.3
198112,47.5
198201,16.1
198202,19.3
198203,23.5
198204,27.9
198205,34.5
198206,39.1
198207,43.7
198208,46.4
198209,48
198210,48.4
198211,47.8
198212,46.9
198301,25.9
198302,27.3
198303,30.4
198304,33.7
198305,37.7
198306,42.6
198307,47.1
198308,50.1
198309,51.6
198310,51.6
198311,50.6
198312,48.3
198401,20.2
198402,26.9
198403,27
198404,32.1
198405,36.2
198406,41.4
198407,45.5
198408,48.6
198409,49.7
198410,50
198411,49
198412,47.9
198501,21
198502,22.8
198503,27
198504,32.6
198505,38
198506,42.1
198507,46
198508,48.9
198509,50.6
198510,50.7
198511,49.9
198512,47.9
198601,25.3
198602,24.8
198603,28.6
198604,33.3
198605,38.6
198606,42.8
198607,46.8
198608,49.4
198609,50.8
198610,50.8
198611,49.6
198612,48.1
198701,25.9
198702,25.4
198703,29.5
198704,34.6
198705,39.7
198706,44.5
198707,48.8
198708,51.3
198709,52.6
198710,52.1
198711,51.2
198712,49.8
198801,26.4
198802,25.3
198803,28.6
198804,32.9
198805,38.2
198806,42.5
198807,47.1
198808,50.2
198809,51.6
198810,51.1
198811,50.3
198812,48.6
198901,31.2
198902,26.8
198903,28.8
198904,32.1
198905,36.6
198906,41.5
198907,45.8
198908,48.6
198909,49.9
198910,50.1
198911,48.9
198912,46.3
199001,33.3
199002,31.2
199003,33.1
199004,36.9
199005,40.4
199006,44.8
199007,48.6
199008,51.3
199009,52.4
199010,52.4
199011,51.6
199012,50.1
199101,25.8
199102,28.2
199103,31.3
199104,36.1
199105,41.7
199106,46.2
199107,49.9
199108,52.5
199109,53.5
199110,53.5
199111,52.2
199112,50.4
199201,26.9
199202,27.2
199203,28.6
199204,32.4
199205,37.3
199206,41.7
199207,45.2
199208,47.8
199209,49.4
199210,49.2
199211,48.4
199212,47
199301,29.4
199302,24.9
199303,26.8
199304,31.9
199305,36.9
199306,41.7
199307,46.2
199308,49.4
199309,50.5
199310,50.4
199311,49.4
199312,47.7
199401,17.1
199402,19.9
199403,24.3
199404,30.3
199405,35.1
199406,40.7
199407,45.4
199408,48.2
199409,49.7
199410,49.9
199411,49.5
199412,48.2
199501,29.6
199502,25.7
199503,29.7
199504,32.8
199505,37.6
199506,42.9
199507,47.2
199508,50.4
199509,51.4
199510,51.7
199511,50.3
199512,48.2
199601,22.7
199602,23.8
199603,25.7
199604,29.9
199605,35
199606,40.4
199607,44.6
199608,47.9
199609,49.6
199610,49.8
199611,48.6
199612,47.4
199701,24.4
199702,27.5
199703,29.5
199704,32.8
199705,36.5
199706,41.6
199707,45.5
199708,48.3
199709,49.7
199710,49.8
199711,48.7
199712,47.4
199801,31.6
199802,33.1
199803,34.4
199804,37.6
199805,42.8
199806,46.6
199807,50
199808,52.7
199809,54
199810,53.9
199811,52.8
199812,51.4
199901,24
199902,27.7
199903,29
199904,33.4
199905,38.7
199906,43.8
199907,48.2
199908,50.7
199909,52.3
199910,52.1
199911,51.4
199912,49.9
200001,24.2
200002,27.3
200003,31.7
200004,34.9
200005,39.5
200006,43.9
200007,47.3
200008,50
200009,51.3
200010,51.4
200011,50.3
200012,48
200101,27.5
200102,28.1
200103,29.3
200104,33.9
200105,39
200106,43.8
200107,47.6
200108,50.8
200109,52.2
200110,52.3
200111,51.9
200112,50.6
200201,32.1
200202,31.9
200203,32.9
200204,36.3
200205,39.5
200206,44.2
200207,48.4
200208,51.4
200209,53.2
200210,52.8
200211,51.7
200212,49.8
200301,19.5
200302,20.4
200303,25
200304,29.6
200305,34.9
200306,39.7
200307,44.1
200308,47.5
200309,49.2
200310,49.3
200311,48.7
200312,47.5
200401,18
200402,22
200403,27.2
200404,32
200405,37.4
200406,41.8
200407,45.8
200408,48.5
200409,50.5
200410,50.6
200411,49.9
200412,48.3
200501,24.4
200502,25.1
200503,26.7
200504,31.9
200505,36.3
200506,42.3
200507,47.1
200508,50.3
200509,52.1
200510,52.2
200511,51.5
200512,-99
200601,35.4
200602,31.9
200603,33.2
200604,37
200605,41.7
200606,46.2
200607,50.2
200608,52.7
200609,53.7
200610,53.2
200611,52.5
200612,51.3
200701,29.4
200702,24.3
200703,28
200704,31.8
200705,37.4
200706,42.8
200707,46.7
200708,50
200709,51.8
200710,52.6
200711,51.4
200712,49.6
200801,30.3
200802,28
200803,29.3
200804,34.9
200805,38.7
200806,43.6
200807,47.7
200808,50.3
200809,51.9
200810,51.8
200811,50.7
