#  Hartford, Connecticut Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195001,32
195002,27.9
195003,28.7
195004,32.8
195005,37.7
195006,42.8
195007,46.9
195008,49.8
195009,50.8
195010,51.2
195011,50.4
195012,48.7
195101,28.9
195102,29.9
195103,32.6
195104,36.9
195105,41.6
195106,45.8
195107,49.8
195108,52.4
195109,53.5
195110,53.5
195111,52
195112,50.2
195201,28.4
195202,29.2
195203,31.6
195204,36.6
195205,40.6
195206,45.6
195207,50.1
195208,52.8
195209,54
195210,53.6
195211,52.5
195212,50.9
195301,31.4
195302,32.4
195303,34.5
195304,38
195305,42.4
195306,47
195307,50.7
195308,53.2
195309,54.4
195310,54.4
195311,53.4
195312,52
195401,23
195402,28.9
195403,31.7
195404,36.1
195405,40.1
195406,44.7
195407,48.5
195408,50.9
195409,52
195410,52.5
195411,51.5
195412,49.8
195501,25.5
195502,27.6
195503,30.6
195504,35.4
195505,40.7
195506,45
195507,49.6
195508,52.6
195509,53.7
195510,53.6
195511,52.3
195512,49.9
195601,28.3
195602,29.5
195603,30
195604,33.4
195605,37.7
195606,43
195607,47
195608,49.9
195609,50.8
195610,50.9
195611,50
195612,48.7
195701,20.9
195702,26.3
195703,30.5
195704,35.6
195705,40.4
195706,45.7
195707,49.6
195708,51.9
195709,53.3
195710,53.1
195711,52.2
195712,50.8
195801,25.8
195802,24.1
195803,28.7
195804,33.8
195805,38.2
195806,42.4
195807,46.7
195808,49.7
195809,51.1
195810,51
195811,50.2
195812,47.8
195901,25.8
195902,25.3
195903,28.7
195904,34.1
195905,39.8
195906,44.4
195907,48.6
195908,51.8
195909,53.5
195910,53.5
195911,52.4
195912,50.7
196001,26.9
196002,30.4
196003,30
196004,-99
196005,-99
196006,-99
196007,-99
196008,-99
196009,-99
196010,-99
196011,-99
196012,-99
196101,17.8
196102,23
196103,27.4
196104,31.9
196105,36.9
196106,42.2
196107,46.6
196108,49.7
196109,51.9
196110,52.2
196111,51.2
196112,49.4
196201,25.4
196202,24.9
196203,28.9
196204,33.9
196205,39
196206,44.1
196207,47.6
196208,50.3
196209,51.4
196210,51.4
196211,50.1
196212,48
196301,23.4
196302,22.3
196303,27.2
196304,32.4
196305,37.6
196306,42.7
196307,47.1
196308,49.7
196309,50.8
196310,51.3
196311,50.8
196312,48.4
196401,27.1
196402,26.5
196403,30.3
196404,34.5
196405,40.1
196406,44.7
196407,48.8
196408,51
196409,52.3
196410,52.1
196411,51.2
196412,49.4
196501,22.2
196502,24.4
196503,27.9
196504,32.4
196505,38.5
196506,43.3
196507,47.3
196508,50.3
196509,51.8
196510,51.7
196511,50.5
196512,48.9
196601,25
196602,26.4
196603,30.1
196604,33.8
196605,38.2
196606,43.4
196607,47.8
196608,50.8
196609,52
196610,51.8
196611,51.2
196612,49.3
196701,30.3
196702,27.3
196703,29.1
196704,33.4
196705,37.1
196706,42.5
196707,47
196708,50
196709,51.4
196710,51.5
196711,50.1
196712,48.5
196801,20.2
196802,21.7
196803,27.6
196804,33.6
196805,38.2
196806,43
196807,47.5
196808,50.3
196809,51.9
196810,52.1
196811,50.9
196812,48.7
196901,23.5
196902,24.9
196903,27.9
196904,33.6
196905,38.5
196906,43.4
196907,47.2
196908,50.4
196909,51.9
196910,51.8
196911,50.8
196912,48.7
197001,16.3
197002,22
197003,26.2
197004,31.8
197005,37.6
197006,42.6
197007,47.2
197008,50.4
197009,52
197010,52.3
197011,51.5
197012,49.4
197101,18.8
197102,23.7
197103,27.4
197104,32
197105,37.1
197106,42.7
197107,47
197108,50.1
197109,52
197110,52.6
197111,51.4
197112,49.8
197201,27.5
197202,26.5
197203,29
197204,32.7
197205,38.1
197206,42.6
197207,47
197208,49.9
197209,51.5
197210,51.2
197211,50
197212,48.4
197301,28.9
197302,27.8
