#  Honolulu (Airport), Hawaii Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195001,72.7
195002,73.7
195003,73.8
195004,73.9
195005,74.4
195006,74.9
195007,75.4
195008,75.9
195009,76.2
195010,76.5
195011,76.4
195012,76.1
195101,73.4
195102,72.9
195103,72.9
195104,73.4
195105,74.1
195106,74.8
195107,75.5
195108,76.1
195109,76.5
195110,76.7
195111,76.8
195112,76.6
195201,73
195202,73.1
195203,73.2
195204,73.3
195205,73.5
195206,74.2
195207,74.8
195208,75.3
195209,75.7
195210,75.9
195211,75.9
195212,75.8
195301,72.8
195302,73.2
195303,73.5
195304,73.9
195305,74.6
195306,75.1
195307,75.6
195308,76.2
195309,76.5
195310,76.6
195311,76.5
195312,76.3
195401,72.2
195402,72.8
195403,72.5
195404,73.1
195405,73.5
195406,74.4
195407,75
195408,75.6
195409,76
195410,76.3
195411,76.4
195412,76.1
195501,72.9
195502,71.9
195503,71.6
195504,72.3
195505,72.9
195506,73.4
195507,74
195508,74.4
195509,74.7
195510,74.9
195511,74.9
195512,74.8
195601,73.8
195602,72.9
195603,73.3
195604,73.6
195605,74.1
195606,74.6
195607,75.2
195608,75.8
195609,76.2
195610,76.4
195611,76.4
195612,76.2
195701,73.4
195702,72
195703,72
195704,72.4
195705,73.1
195706,74
195707,74.9
195708,75.5
195709,76
195710,76.3
195711,76.4
195712,76.3
195801,71.9
195802,72
195803,71.5
195804,72.1
195805,72.7
195806,73.6
195807,74.3
195808,75
195809,75.7
195810,75.9
195811,75.9
195812,75.6
195901,73
195902,72.3
195903,73.4
195904,73.8
195905,74.3
195906,75.2
195907,75.9
195908,76.4
195909,77
195910,77.2
195911,77.2
195912,76.9
196001,72.9
196002,72.7
196003,72.9
196004,73.4
196005,74.2
196006,75
196007,75.7
196008,76.4
196009,76.8
196010,77
196011,77
196012,76.7
196101,72.6
196102,73.2
196103,74
196104,74.5
196105,75.2
196106,75.8
196107,76.4
196108,76.9
196109,77.3
196110,77.5
196111,77.3
196112,77.1
196201,74.2
196202,73
196203,73.2
196204,74
196205,74.7
196206,75.3
196207,75.9
196208,76.5
196209,76.8
196210,76.9
196211,76.9
196212,76.5
196301,72.3
196302,72.1
196303,72.2
196304,72.9
196305,73.6
196306,74.5
196307,75.3
196308,76.1
196309,76.6
196310,76.9
196311,76.9
196312,76.6
196401,74.9
196402,74.7
196403,74.6
196404,74.8
196405,75.1
196406,75.5
196407,76.1
196408,76.6
196409,77
196410,77.1
196411,77
196412,76.8
196501,71.8
196502,70.7
196503,71.1
196504,72
196505,73
196506,74
196507,74.8
196508,75.4
196509,75.9
196510,76.1
196511,76.1
196512,75.8
196601,72
196602,71.7
196603,72.7
196604,73.1
196605,73.8
196606,74.8
196607,75.6
196608,76.3
196609,77
196610,77.3
196611,77.2
196612,77
196701,71.9
196702,72.6
196703,72.8
196704,73.1
196705,74
196706,74.9
196707,75.7
196708,76.5
196709,77
196710,77.3
196711,77.3
196712,77
196801,72.5
196802,72.6
196803,73.2
196804,73.9
196805,74.7
196806,75.6
196807,76.3
196808,77.1
196809,77.5
196810,77.8
196811,77.8
196812,77.4
196901,68.5
196902,70.9
196903,71.6
196904,72.2
196905,73
196906,73.9
196907,74.8
196908,75.5
196909,76
196910,76.3
196911,76.3
196912,76.1
197001,72.9
197002,72.4
197003,72.7
197004,73.4
197005,74.3
197006,75.1
197007,75.7
197008,76.4
197009,76.8
197010,77
197011,76.9
197012,76.8
197101,71
197102,72.3
197103,73
197104,73.8
197105,74.6
197106,75.2
197107,75.9
197108,76.6
197109,76.9
197110,77.1
197111,77.1
197112,76.9
197201,70.8
197202,71.2
197203,71.9
197204,72.6
197205,73.5
197206,74.3
197207,75.2
197208,76
197209,76.5
197210,76.8
197211,76.7
197212,76.2
197301,72.3
197302,72.2
197303,73.3
197304,73.7
197305,74.3
197306,75
197307,75.7
197308,76.3
197309,76.8
197310,77
197311,76.9
197312,76.6
197401,74
197402,73.9
197403,73.7
197404,74.5
197405,75.1
197406,75.7
197407,76.2
197408,76.8
197409,77.1
197410,77.3
197411,77.1
197412,76.9
197501,71.8
197502,72
197503,72.1
197504,72.6
197505,73.1
197506,73.8
197507,74.5
197508,75.1
197509,75.5
197510,75.8
197511,75.9
197512,75.6
197601,73.1
197602,72.3
197603,72.5
197604,73
197605,73.8
197606,74.4
197607,75.1
197608,75.8
197609,76.2
197610,76.5
197611,76.3
197612,76.2
197701,73.1
197702,74.1
197703,74.6
197704,74.9
197705,75.3
197706,75.9
197707,76.5
197708,77.2
197709,77.6
197710,77.9
197711,77.9
197712,77.6
197801,73.6
197802,73.1
197803,73.8
197804,74.4
197805,75
197806,75.6
197807,76.1
197808,76.6
197809,77.1
197810,77.1
197811,76.9
197812,76.5
197901,69.8
197902,70.9
197903,71.5
197904,72.3
197905,73.4
197906,74.5
197907,75.4
197908,76
197909,76.6
197910,77
197911,77
197912,76.9
198001,71.8
198002,72.1
198003,73
198004,73.8
198005,74.6
198006,75.4
198007,76.2
198008,76.8
198009,77.3
198010,77.6
198011,77.6
198012,77.3
198101,73.1
198102,73.3
198103,73.8
198104,74.3
198105,74.9
198106,75.8
198107,76.4
198108,76.8
198109,77.2
198110,77.3
198111,77.3
198112,77
198201,73.1
198202,72.4
198203,72.9
198204,73.5
198205,74.4
198206,75.3
198207,76
198208,76.7
198209,77.2
198210,77.4
198211,77.2
198212,76.8
198301,72.7
198302,72.5
198303,73.3
198304,73.8
198305,74.5
198306,75.3
198307,76.1
198308,76.7
198309,77.1
