#  Key West, Florida Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194801,67.1
194802,69.7
194803,71.9
194804,73
194805,74.4
194806,75.8
194807,76.8
194808,77.7
194809,78.1
194810,78.1
194811,78.1
194812,77.8
194901,71.3
194902,73
194903,72.8
194904,74
194905,75.1
194906,76.2
194907,77.1
194908,77.8
194909,78.4
194910,78.5
194911,77.8
194912,77.2
195001,72.6
195002,71.5
195003,72
195004,72
195005,73.6
195006,75.1
195007,76
195008,76.9
195009,77.4
195010,77.5
195011,77
195012,76.1
195101,65.8
195102,65.8
195103,67.8
195104,69.4
195105,71.2
195106,73.1
195107,74.5
195108,75.7
195109,76.6
195110,76.7
195111,76.3
195112,76
195201,69.9
195202,69.2
195203,70.9
195204,71.5
195205,73.1
195206,74.7
195207,75.9
195208,76.9
195209,77.4
195210,77.4
195211,77
195212,76.1
195301,67.1
195302,68.7
195303,70.7
195304,72.3
195305,74
195306,75.2
195307,-99
195308,-99
195309,-99
195310,-99
195311,-99
195312,-99
195401,-99
195402,-99
195403,-99
195404,-99
195405,-99
195406,-99
195407,-99
195408,-99
195409,-99
195410,-99
195411,-99
195412,-99
195501,-99
195502,-99
195503,-99
195504,-99
195505,-99
195506,-99
195507,-99
195508,-99
195509,-99
195510,-99
195511,-99
195512,-99
195601,-99
195602,-99
195603,-99
195604,-99
195605,-99
195606,-99
195607,-99
195608,-99
195609,-99
195610,-99
195611,-99
195612,-99
195701,-99
195702,-99
195703,-99
195704,-99
195705,-99
195706,-99
195707,-99
195708,-99
195709,-99
195710,-99
195711,-99
195712,-99
195801,62.7
195802,62.1
195803,64.3
195804,66.9
195805,69.1
195806,71.2
195807,73
195808,74.4
195809,75.3
195810,75.5
195811,75.7
195812,75.2
195901,66.8
195902,71.1
195903,71.3
195904,72.4
195905,73.8
195906,75.1
195907,76.1
195908,77
195909,77.5
195910,77.9
195911,77.5
195912,76.7
196001,68.3
196002,67.8
196003,67.9
196004,69.7
196005,71.4
196006,73.1
196007,74.7
196008,75.7
196009,76.4
196010,76.8
196011,76.7
196012,75.8
196101,65.3
196102,67.7
196103,69.8
196104,71.1
196105,72.6
196106,74
196107,75.4
196108,76.4
196109,77
196110,77
196111,76.8
196112,76.3
196201,67.5
196202,69.5
196203,70
196204,71
196205,72.4
196206,73.9
196207,75.4
196208,76.4
196209,77
196210,77.2
196211,76.5
196212,75.6
196301,67.8
196302,67.2
196303,69.2
196304,70.6
196305,72.1
196306,73.8
196307,75.1
196308,76.2
196309,76.9
196310,76.8
196311,76.4
196312,75.4
196401,66.6
196402,66
196403,68.5
196404,70.7
196405,72.3
196406,73.8
196407,75.2
196408,76.3
196409,76.9
196410,76.9
196411,76.8
196412,76.5
196501,70.1
196502,72
196503,73.1
196504,74.6
196505,75.7
196506,76.9
196507,77.9
196508,78.7
196509,79
196510,79
