#  Boston, Massachusetts Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194801,22
194802,23.7
194803,28.2
194804,32.9
194805,37.2
194806,41.5
194807,46.2
194808,49.5
194809,51.2
194810,51.4
194811,51.1
194812,49.8
194901,33.3
194902,33.2
194903,34.9
194904,38.7
194905,42.9
194906,47.6
194907,51.6
194908,54.4
194909,55.3
194910,55.5
194911,54.2
194912,52.7
195001,34.8
195002,30.7
195003,31.4
195004,35
195005,39.1
195006,44
195007,48.1
195008,50.9
195009,52
195010,52.3
195011,51.7
195012,50.3
195101,32.6
195102,32.9
195103,34.7
195104,38.6
195105,42.5
195106,46.4
195107,50.2
195108,52.7
195109,54
195110,54
195111,52.8
195112,51.2
195201,31.2
195202,31.2
195203,32.9
195204,37.1
195205,41
195206,45.8
195207,50.3
195208,52.9
195209,54.3
195210,54.1
195211,53.1
195212,51.5
195301,33.3
195302,33.4
195303,35
195304,38.3
195305,42.2
195306,46.8
195307,50.5
195308,53.1
195309,54.5
195310,54.5
195311,53.8
195312,52.6
195401,24.6
195402,29.8
195403,32.5
195404,36.7
195405,40.5
195406,44.7
195407,48.6
195408,51.2
195409,52.4
195410,52.9
195411,52
195412,50.4
195501,27.1
195502,28.9
195503,31.5
195504,35.7
195505,41
195506,45.2
195507,49.7
195508,52.7
195509,53.9
195510,53.9
195511,52.7
195512,50.4
195601,29.2
195602,30.2
195603,31
195604,34.4
195605,38.5
195606,43.5
195607,47.5
195608,50.4
195609,51.5
195610,51.7
195611,51
195612,49.7
195701,22
195702,27.6
195703,31.1
195704,35.5
195705,40.2
195706,45.3
195707,49.4
195708,51.8
195709,53.4
195710,53.4
195711,52.7
195712,51.5
195801,29.6
195802,26.8
195803,30.6
195804,34.9
195805,39.2
195806,43.2
195807,47.3
195808,50.3
195809,51.8
195810,51.8
195811,51.2
195812,49
195901,27.4
195902,26.3
195903,29.6
195904,34.2
195905,39.8
195906,43.8
195907,48.2
195908,51.3
195909,53.1
195910,53.2
195911,52.2
195912,50.8
196001,29.6
196002,31.7
196003,31.7
196004,35.7
196005,40.4
196006,45.2
196007,49.1
196008,51.9
196009,53.1
196010,53.1
196011,52.5
196012,50.4
196101,23.6
196102,26.9
196103,29.9
196104,33.5
196105,38
196106,43
196107,47.1
196108,50.2
196109,52.2
196110,52.6
196111,51.7
196112,50
196201,27.3
196202,26.3
196203,30.1
196204,34.7
196205,39.1
196206,43.9
196207,47.6
196208,50.3
196209,51.6
196210,51.7
196211,50.7
196212,48.9
196301,28.1
196302,26.3
196303,30.2
196304,34.7
196305,39.5
196306,44.4
196307,48.7
196308,51.3
196309,52.3
196310,52.9
196311,52.3
196312,50
196401,31.4
196402,29.5
196403,32.3
196404,35.7
196405,40.6
196406,45
196407,48.9
196408,51.1
196409,52.3
196410,52.3
196411,51.6
196412,49.9
196501,25
196502,26.5
196503,29.6
196504,33.4
196505,38.7
196506,43.4
196507,47.5
196508,50.6
196509,52
196510,52
196511,51.1
196512,49.8
196601,28
196602,29.3
196603,32.5
196604,35.6
196605,39.8
196606,44.6
