#  New York (Central Park), New York Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194801,23.8
194802,26.4
194803,31.1
194804,35.8
194805,40.4
194806,45.1
194807,49.5
194808,52.6
194809,54.4
194810,54.5
194811,54.1
194812,52.7
194901,37
194902,37
194903,38.4
194904,42
194905,46
194906,50.5
194907,54.5
194908,57.2
194909,58
194910,58.4
194911,57.1
194912,55.5
195001,40
195002,35
195003,34.9
195004,38
195005,41.9
195006,46.5
195007,50.4
195008,53.1
195009,54.2
195010,54.7
195011,53.9
195012,52.2
195101,34.8
195102,34.9
195103,36.6
195104,40.4
195105,44.8
195106,48.8
195107,52.7
195108,55.2
195109,56.5
195110,56.6
195111,55.2
195112,53.8
195201,34.5
195202,34.5
195203,35.9
195204,40.4
195205,44.2
195206,48.9
195207,53.3
195208,55.8
195209,57.3
195210,56.9
195211,56
195212,54.4
195301,36
195302,36.4
195303,38.2
195304,41.4
195305,45.6
195306,50.1
195307,53.9
195308,56.5
195309,57.9
195310,58
195311,57.1
195312,55.7
195401,29.3
195402,33.9
195403,36.1
195404,40.2
195405,44
195406,48.5
195407,52.4
195408,54.8
195409,56.2
195410,56.6
195411,55.5
195412,53.8
195501,29.5
195502,31.3
195503,34.2
195504,38.8
195505,43.8
195506,47.9
195507,52.5
195508,55.6
195509,56.9
195510,57.1
195511,55.8
195512,53.6
195601,30.9
195602,33.1
195603,34.2
195604,37.5
195605,41.6
195606,46.5
195607,50.2
195608,53.1
195609,54.3
195610,54.6
195611,53.7
195612,52.6
195701,27.4
195702,31.7
195703,34.8
195704,39.2
195705,43.8
195706,48.8
195707,52.9
195708,55.4
195709,56.9
195710,56.7
195711,55.9
195712,54.5
195801,30.7
195802,28.4
195803,32
195804,37
195805,41.3
195806,45.5
195807,49.8
195808,52.9
195809,54.4
195810,54.4
195811,53.7
195812,51.6
195901,30.1
195902,30.4
195903,33.3
195904,38.2
195905,43.7
195906,48.2
195907,52.1
195908,55.2
195909,57
195910,57.2
195911,56
195912,54.5
196001,32.7
196002,33.9
196003,33.4
196004,38.3
196005,43
196006,47.8
196007,51.5
196008,54.3
196009,55.8
196010,55.9
196011,55.2
196012,53.1
196101,25.8
196102,30.1
196103,33.4
196104,37
196105,41.3
196106,46.2
196107,50.5
196108,53.5
196109,55.7
196110,56
196111,55.2
196112,53.4
196201,30.5
196202,30.1
196203,33.7
196204,38.2
196205,43.1
196206,47.9
196207,51.4
196208,53.9
196209,55.1
196210,55.2
196211,54
196212,52
196301,29
196302,28
196303,32.9
196304,37.9
196305,42.4
196306,47.1
196307,51.2
196308,53.7
196309,54.6
196310,55.3
196311,54.7
196312,52.6
196401,34.5
196402,33
196403,36.1
196404,39.3
196405,44.4
196406,48.8
196407,52.5
196408,55
196409,56.2
196410,56
196411,55.3
196412,53.6
196501,28.5
196502,30.6
196503,33.4
196504,37.5
196505,43.1
