#  Rochester, Minnesota Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195001,8.8
195002,11.1
195003,15.1
195004,20.6
195005,27.7
195006,34.1
195007,39.1
195008,42.3
195009,44.3
195010,45.2
195011,43.4
195012,40.6
195101,5.8
195102,10.7
195103,14
195104,20.6
195105,28.5
195106,34.3
195107,39.4
195108,42.8
195109,44.3
195110,44.7
195111,42.7
195112,40.4
195201,12.1
195202,17.6
195203,20.2
195204,26.7
195205,32.3
195206,38.4
195207,43.1
195208,46.1
195209,47.7
195210,47
195211,45.8
195212,43.7
195301,15.8
195302,17
195303,21.4
195304,25.8
195305,31.9
195306,38.1
195307,42.7
195308,46.1
195309,47.5
195310,48.1
195311,47
195312,44.9
195401,10.5
195402,20.7
195403,22.9
195404,28.9
195405,33.3
195406,39.4
195407,44.1
195408,47
195409,48.4
195410,48.1
195411,47
195412,44.8
195501,13.2
195502,13.7
195503,18
195504,26.3
195505,33.1
195506,38.4
195507,43.9
195508,47.7
195509,49.1
195510,49.1
195511,46.9
195512,44
195601,10.9
195602,11.6
195603,15.7
195604,21.7
195605,28.7
195606,35.9
195607,40.5
195608,44
195609,45.4
195610,46.4
195611,44.9
195612,43
195701,8.5
195702,15
195703,19.8
195704,26.1
195705,31.7
195706,37.4
195707,42.7
195708,45.9
195709,47.2
195710,47.2
195711,45.8
195712,44
195801,19.4
195802,16.3
195803,20.9
195804,27
195805,32.9
195806,37.4
195807,41.6
195808,44.8
195809,46.4
195810,46.9
195811,45.7
195812,43
195901,7.9
195902,10
195903,16.1
195904,23.3
195905,30.7
195906,37
195907,41.8
195908,45.6
195909,47.2
195910,46.8
195911,44.6
195912,43.2
196001,17.2
196002,17.6
196003,17.6
196004,24.6
196005,30.9
196006,36.2
196007,41.1
196008,44.7
196009,46.5
196010,46.6
196011,45.5
196012,43.2
196101,13.9
196102,19.6
196103,23.1
196104,26.7
196105,32.1
196106,37.8
196107,42.2
196108,45.7
196109,47.1
196110,47.4
196111,46
196112,43.4
196201,8.7
196202,10.8
196203,15.1
196204,21.6
196205,29.4
196206,35.4
196207,40
196208,43.4
196209,44.8
196210,45.4
196211,44.5
196212,42.4
196301,3.6
196302,8.2
196303,16.1
196304,23.5
196305,29.8
196306,36.3
196307,41.2
196308,44.3
196309,46.2
196310,47.3
196311,46.5
196312,43.4
196401,20.9
196402,22.5
196403,23.4
196404,28.8
196405,35
196406,40.3
196407,45
196408,47.6
196409,48.6
196410,48.4
196411,47
196412,44.4
196501,9.3
196502,10.3
196503,12.8
196504,20
196505,27.6
